UDI,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Difference temperature [K],Power
5790,M,301.8,311.5,1416,49.0,136,0,No Failure,9.699999999999989,69384.0
5791,M,301.7,311.2,1563,34.5,139,0,No Failure,9.5,53923.5
5792,M,301.8,311.3,1542,40.1,142,0,No Failure,9.5,61834.200000000004
5793,M,301.8,311.3,1624,31.6,145,0,No Failure,9.5,51318.4
5794,L,301.8,311.3,1471,44.2,148,0,No Failure,9.5,65018.200000000004
5795,M,301.9,311.5,1492,40.8,150,0,No Failure,9.600000000000023,60873.6
5796,M,301.9,311.4,1465,39.9,153,0,No Failure,9.5,58453.5
5797,L,301.7,311.1,1399,55.1,156,0,No Failure,9.400000000000034,77084.90000000001
5798,L,301.6,311.0,1431,42.6,158,0,No Failure,9.399999999999977,60960.6
5799,L,301.5,310.9,1600,39.0,160,0,No Failure,9.399999999999977,62400.0
5800,L,301.5,310.8,1593,34.5,162,0,No Failure,9.300000000000011,54958.5
5801,L,301.5,310.9,1469,44.7,164,0,No Failure,9.399999999999977,65664.3
5802,L,301.5,310.8,1413,44.6,166,0,No Failure,9.300000000000011,63019.8
5803,L,301.4,310.8,1490,38.0,168,0,No Failure,9.400000000000034,56620.0
5804,L,301.5,310.9,1671,31.1,170,0,No Failure,9.399999999999977,51968.100000000006
5805,L,301.5,310.9,1365,46.5,172,0,No Failure,9.399999999999977,63472.5
5806,M,301.4,310.9,1557,39.3,174,0,No Failure,9.5,61190.1
5807,L,301.4,310.9,1440,45.4,177,0,No Failure,9.5,65376.0
5808,M,301.4,310.9,1489,38.9,179,0,No Failure,9.5,57922.1
5809,L,301.4,311.0,1733,25.7,182,0,No Failure,9.600000000000023,44538.1
5810,H,301.3,311.0,1580,36.6,184,0,No Failure,9.699999999999989,57828.0
5811,L,301.3,311.0,1856,21.9,189,0,No Failure,9.699999999999989,40646.399999999994
5812,L,301.3,311.1,1454,40.3,191,0,No Failure,9.800000000000011,58596.2
5813,L,301.4,311.1,1495,36.3,193,0,No Failure,9.700000000000045,54268.49999999999
5814,L,301.2,311.0,1761,29.1,195,0,No Failure,9.800000000000011,51245.100000000006
5815,M,301.3,311.0,1402,47.5,197,0,No Failure,9.699999999999989,66595.0
5816,L,301.2,311.0,1670,33.0,200,0,No Failure,9.800000000000011,55110.0
5817,L,301.3,311.0,1582,35.6,202,0,No Failure,9.699999999999989,56319.200000000004
5818,L,301.3,311.0,1542,35.1,204,0,No Failure,9.699999999999989,54124.200000000004
5819,L,301.3,311.0,1539,36.9,206,0,No Failure,9.699999999999989,56789.1
5820,L,301.3,311.0,1418,41.9,208,0,No Failure,9.699999999999989,59414.2
5821,L,301.3,311.1,1723,27.6,210,0,No Failure,9.800000000000011,47554.8
5822,L,301.3,311.1,1303,49.2,212,0,No Failure,9.800000000000011,64107.600000000006
5823,M,301.3,311.0,1463,50.2,214,0,No Failure,9.699999999999989,73442.6
5824,L,301.2,311.0,1544,39.3,217,0,No Failure,9.800000000000011,60679.2
5825,L,301.2,311.0,1596,37.2,219,0,No Failure,9.800000000000011,59371.200000000004
5826,L,301.3,311.1,1413,42.0,221,0,No Failure,9.800000000000011,59346.0
5827,M,301.3,311.1,1492,41.2,223,0,No Failure,9.800000000000011,61470.4
5828,L,301.3,311.1,1624,40.9,0,0,No Failure,9.800000000000011,66421.59999999999
5829,L,301.3,311.1,1504,39.1,2,0,No Failure,9.800000000000011,58806.4
5830,M,301.2,311.1,1574,34.3,4,0,No Failure,9.900000000000034,53988.2
5831,M,301.3,311.2,1438,42.4,7,0,No Failure,9.899999999999977,60971.2
5832,L,301.3,311.3,1474,50.7,10,0,No Failure,10.0,74731.8
5833,L,301.3,311.2,1675,32.1,12,0,No Failure,9.899999999999977,53767.5
5834,L,301.3,311.2,1457,44.5,14,0,No Failure,9.899999999999977,64836.5
5835,L,301.3,311.3,1434,49.8,16,0,No Failure,10.0,71413.2
5836,L,301.3,311.2,1668,30.1,18,0,No Failure,9.899999999999977,50206.8
5837,L,301.2,311.1,1550,39.7,20,0,No Failure,9.900000000000034,61535.00000000001
5838,M,301.3,311.1,1834,25.4,22,0,No Failure,9.800000000000011,46583.6
5839,M,301.4,311.2,1476,36.5,25,0,No Failure,9.800000000000011,53874.0
5840,M,301.4,311.2,1541,36.3,28,0,No Failure,9.800000000000011,55938.299999999996
5841,M,301.3,311.1,1581,30.9,31,0,No Failure,9.800000000000011,48852.899999999994
5842,M,301.3,311.1,1678,30.7,34,0,No Failure,9.800000000000011,51514.6
5843,L,301.4,311.2,1355,50.6,37,0,No Failure,9.800000000000011,68563.0
5844,L,301.5,311.2,1700,28.8,39,0,No Failure,9.699999999999989,48960.0
5845,L,301.4,311.1,1462,37.1,41,0,No Failure,9.700000000000045,54240.200000000004
5846,M,301.4,311.2,1727,26.5,43,0,No Failure,9.800000000000011,45765.5
5847,L,301.4,311.3,1674,33.3,46,0,No Failure,9.900000000000034,55744.2
5848,L,301.4,311.3,1397,42.3,48,0,No Failure,9.900000000000034,59093.1
5849,L,301.4,311.3,2323,15.9,50,0,No Failure,9.900000000000034,36935.700000000004
5850,M,301.4,311.2,1434,47.6,52,0,No Failure,9.800000000000011,68258.40000000001
5851,L,301.3,311.1,1560,35.3,55,0,No Failure,9.800000000000011,55067.99999999999
5852,L,301.2,311.0,1573,32.8,57,0,No Failure,9.800000000000011,51594.399999999994
5853,H,301.2,310.9,1798,22.3,59,0,No Failure,9.699999999999989,40095.4
5854,L,301.2,311.0,1567,35.1,64,0,No Failure,9.800000000000011,55001.700000000004
5855,L,301.2,310.9,1416,53.3,66,0,No Failure,9.699999999999989,75472.8
5856,M,301.2,310.9,1424,45.2,68,0,No Failure,9.699999999999989,64364.8
5857,H,301.2,310.9,1598,35.9,71,0,No Failure,9.699999999999989,57368.2
5858,L,301.3,310.9,1760,23.9,76,0,No Failure,9.599999999999966,42064.0
5859,L,301.3,311.0,1348,44.5,78,0,No Failure,9.699999999999989,59986.0
5860,L,301.3,311.0,1542,33.6,80,0,No Failure,9.699999999999989,51811.200000000004
5861,L,301.3,310.9,1566,33.1,82,0,No Failure,9.599999999999966,51834.600000000006
5862,L,301.3,311.0,1554,47.7,84,0,No Failure,9.699999999999989,74125.8
5863,L,301.4,311.0,1470,40.6,86,0,No Failure,9.600000000000023,59682.0
5864,M,301.4,311.1,1758,25.4,88,0,No Failure,9.700000000000045,44653.2
5865,M,301.4,311.0,1486,36.5,91,0,No Failure,9.600000000000023,54239.0
5866,M,301.5,311.1,1402,40.0,94,0,No Failure,9.600000000000023,56080.0
5867,L,301.5,311.1,1459,45.1,97,0,No Failure,9.600000000000023,65800.90000000001
5868,L,301.5,311.0,1494,45.3,99,0,No Failure,9.5,67678.2
5869,L,301.5,311.1,1731,27.9,101,0,No Failure,9.600000000000023,48294.899999999994
5870,L,301.5,311.1,2076,18.7,103,0,No Failure,9.600000000000023,38821.2
5871,L,301.5,311.1,2055,16.8,105,0,No Failure,9.600000000000023,34524.0
5872,L,301.5,311.1,1469,49.5,107,0,No Failure,9.600000000000023,72715.5
5873,M,301.5,311.0,1504,42.6,109,0,No Failure,9.5,64070.4
5874,M,301.5,311.1,1396,43.5,112,0,No Failure,9.600000000000023,60726.0
5875,M,301.5,311.1,1660,33.8,115,0,No Failure,9.600000000000023,56107.99999999999
5876,M,301.5,311.0,1577,39.7,118,0,No Failure,9.5,62606.9
5877,L,301.5,311.1,1426,52.1,121,0,No Failure,9.600000000000023,74294.6
5878,L,301.5,311.1,1458,41.4,123,0,No Failure,9.600000000000023,60361.2
5879,L,301.4,311.0,1533,45.8,125,0,No Failure,9.600000000000023,70211.4
5880,L,301.4,311.0,1701,28.4,127,0,No Failure,9.600000000000023,48308.399999999994
5881,L,301.5,311.1,1434,49.6,129,0,No Failure,9.600000000000023,71126.40000000001
5882,L,301.4,311.1,1952,22.7,131,0,No Failure,9.700000000000045,44310.4
5883,L,301.4,311.1,1469,36.9,133,0,No Failure,9.700000000000045,54206.1
5884,L,301.4,311.1,1800,26.0,135,0,No Failure,9.700000000000045,46800.0
5885,M,301.3,311.1,1438,43.0,137,0,No Failure,9.800000000000011,61834.0
5886,L,301.3,311.1,1647,28.2,140,0,No Failure,9.800000000000011,46445.4
5887,L,301.4,311.1,1494,41.9,142,0,No Failure,9.700000000000045,62598.6
5888,H,301.4,311.1,1445,41.4,144,0,No Failure,9.700000000000045,59823.0
5889,M,301.5,311.1,1507,38.6,149,0,No Failure,9.600000000000023,58170.200000000004
5890,M,301.4,311.0,1234,55.8,152,0,No Failure,9.600000000000023,68857.2
5891,L,301.4,311.0,1634,32.6,155,0,No Failure,9.600000000000023,53268.4
5892,L,301.4,311.0,1334,53.3,157,0,No Failure,9.600000000000023,71102.2
5893,L,301.4,311.1,1472,44.5,159,0,No Failure,9.700000000000045,65504.0
5894,M,301.3,311.0,1410,52.7,161,0,No Failure,9.699999999999989,74307.0
5895,L,301.2,310.9,1597,37.9,164,0,No Failure,9.699999999999989,60526.299999999996
5896,M,301.2,310.9,1460,46.7,166,0,No Failure,9.699999999999989,68182.0
5897,L,301.1,310.8,1274,55.7,169,0,No Failure,9.699999999999989,70961.8
5898,M,301.0,310.7,1517,40.2,171,0,No Failure,9.699999999999989,60983.4
5899,L,301.0,310.7,1300,57.2,174,0,No Failure,9.699999999999989,74360.0
5900,H,300.9,310.6,1686,27.7,176,0,No Failure,9.700000000000045,46702.2
5901,M,300.9,310.7,1485,41.0,181,0,No Failure,9.800000000000011,60885.0
5902,L,301.0,310.7,1464,45.8,184,0,No Failure,9.699999999999989,67051.2
5903,L,300.9,310.6,1598,35.4,186,0,No Failure,9.700000000000045,56569.2
5904,L,300.9,310.5,1894,21.9,188,0,No Failure,9.600000000000023,41478.6
5905,M,300.8,310.5,1330,59.0,190,0,No Failure,9.699999999999989,78470.0
5906,H,300.8,310.5,1582,31.1,193,0,No Failure,9.699999999999989,49200.200000000004
5907,L,300.7,310.3,1533,35.6,198,0,No Failure,9.600000000000023,54574.8
5908,H,300.8,310.4,1419,46.4,200,0,No Failure,9.599999999999966,65841.59999999999
5909,M,300.8,310.3,1526,36.3,205,0,No Failure,9.5,55393.799999999996
5910,H,300.7,310.2,1364,65.3,208,1,Power Failure,9.5,89069.2
5911,M,300.8,310.3,1458,43.4,0,0,No Failure,9.5,63277.2
5912,M,300.8,310.4,1288,64.0,3,0,No Failure,9.599999999999966,82432.0
5913,M,300.7,310.3,1659,29.8,6,0,No Failure,9.600000000000023,49438.200000000004
5914,H,300.7,310.2,1479,52.3,9,0,No Failure,9.5,77351.7
5915,L,300.7,310.3,1592,36.0,14,0,No Failure,9.600000000000023,57312.0
5916,M,300.6,310.2,1532,38.7,16,0,No Failure,9.599999999999966,59288.4
5917,L,300.6,310.2,1555,41.9,19,0,No Failure,9.599999999999966,65154.5
5918,L,300.6,310.2,1341,52.6,21,0,No Failure,9.599999999999966,70536.6
5919,L,300.6,310.1,1541,42.0,23,0,No Failure,9.5,64722.0
5920,L,300.6,310.3,1414,50.6,25,0,No Failure,9.699999999999989,71548.40000000001
5921,L,300.5,310.2,1764,25.9,27,0,No Failure,9.699999999999989,45687.6
5922,L,300.5,310.3,1336,57.1,29,0,No Failure,9.800000000000011,76285.6
5923,L,300.5,310.3,1435,43.3,31,0,No Failure,9.800000000000011,62135.49999999999
5924,M,300.4,310.3,1537,35.0,33,0,No Failure,9.900000000000034,53795.0
5925,L,300.3,310.2,1369,48.8,36,0,No Failure,9.899999999999977,66807.2
5926,M,300.2,310.1,1619,31.3,38,0,No Failure,9.900000000000034,50674.700000000004
5927,L,300.2,310.1,1440,51.1,41,0,No Failure,9.900000000000034,73584.0
5928,L,300.2,310.1,1649,30.5,43,0,No Failure,9.900000000000034,50294.5
5929,M,300.2,310.1,1550,38.7,45,0,No Failure,9.900000000000034,59985.00000000001
5930,L,300.3,310.2,1471,45.2,48,0,No Failure,9.899999999999977,66489.2
5931,L,300.3,310.3,1483,51.6,50,0,No Failure,10.0,76522.8
5932,L,300.3,310.4,1336,54.4,52,0,No Failure,10.099999999999966,72678.4
5933,L,300.5,310.5,1515,36.6,54,0,No Failure,10.0,55449.0
5934,L,300.5,310.5,1373,47.4,56,0,No Failure,10.0,65080.2
5935,H,300.6,310.5,1454,51.2,58,0,No Failure,9.899999999999977,74444.8
5936,L,300.5,310.5,1646,34.5,63,0,No Failure,10.0,56787.0
5937,M,300.5,310.4,1548,37.3,65,0,No Failure,9.899999999999977,57740.399999999994
5938,M,300.6,310.5,1462,41.3,68,0,No Failure,9.899999999999977,60380.6
5939,L,300.5,310.4,1702,33.1,71,0,No Failure,9.899999999999977,56336.200000000004
5940,L,300.5,310.5,1409,60.9,73,0,No Failure,10.0,85808.09999999999
5941,M,300.6,310.6,1427,52.8,75,0,No Failure,10.0,75345.59999999999
5942,L,300.6,310.7,1438,48.5,78,1,No Failure,10.099999999999966,69743.0
5943,L,300.7,310.7,1450,43.4,80,0,No Failure,10.0,62930.0
5944,L,300.7,310.7,1541,41.3,82,0,No Failure,10.0,63643.299999999996
5945,M,300.7,310.6,1484,38.0,84,0,No Failure,9.900000000000034,56392.0
5946,M,300.8,310.8,1415,44.5,87,0,No Failure,10.0,62967.5
5947,L,300.7,310.8,1496,46.4,90,0,No Failure,10.100000000000023,69414.4
5948,M,300.7,310.8,1465,45.2,92,0,No Failure,10.100000000000023,66218.0
5949,L,300.7,310.8,2113,18.5,95,0,No Failure,10.100000000000023,39090.5
5950,M,300.7,310.8,1506,44.0,97,0,No Failure,10.100000000000023,66264.0
5951,L,300.7,310.8,1689,28.9,100,0,No Failure,10.100000000000023,48812.1
5952,L,300.7,310.9,1650,29.4,102,0,No Failure,10.199999999999989,48510.0
5953,L,300.7,310.8,1563,33.8,104,0,No Failure,10.100000000000023,52829.399999999994
5954,M,300.7,310.9,1486,38.9,106,0,No Failure,10.199999999999989,57805.4
5955,L,300.8,310.9,1732,25.7,109,0,No Failure,10.099999999999966,44512.4
5956,L,300.7,310.8,1653,31.6,111,0,No Failure,10.100000000000023,52234.8
5957,L,300.7,310.9,1535,37.1,113,0,No Failure,10.199999999999989,56948.5
5958,L,300.7,310.9,1637,37.2,115,0,No Failure,10.199999999999989,60896.4
5959,L,300.6,310.8,1533,38.5,117,0,No Failure,10.199999999999989,59020.5
5960,L,300.6,310.8,1378,51.2,119,0,No Failure,10.199999999999989,70553.6
5961,L,300.5,310.7,1606,33.5,121,0,No Failure,10.199999999999989,53801.0
5962,L,300.3,310.7,1539,32.3,123,0,No Failure,10.399999999999977,49709.7
5963,L,300.5,310.8,1728,26.3,125,0,No Failure,10.300000000000011,45446.4
5964,H,300.4,310.7,1656,36.3,127,0,No Failure,10.300000000000011,60112.799999999996
5965,H,300.5,310.8,1631,30.5,132,0,No Failure,10.300000000000011,49745.5
5966,H,300.5,310.9,1447,46.5,137,0,No Failure,10.399999999999977,67285.5
5967,L,300.4,310.8,1396,49.3,142,0,No Failure,10.400000000000034,68822.8
5968,L,300.4,310.8,1390,52.5,144,0,No Failure,10.400000000000034,72975.0
5969,L,300.4,310.8,1348,56.0,146,0,No Failure,10.400000000000034,75488.0
5970,M,300.4,310.8,1491,35.9,148,0,No Failure,10.400000000000034,53526.9
5971,L,300.4,310.8,1520,37.6,151,0,No Failure,10.400000000000034,57152.0
5972,L,300.5,310.8,1509,33.0,153,0,No Failure,10.300000000000011,49797.0
5973,L,300.5,310.8,1445,46.6,155,0,No Failure,10.300000000000011,67337.0
5974,L,300.5,310.8,1354,51.8,157,0,No Failure,10.300000000000011,70137.2
5975,L,300.5,310.7,1488,39.4,159,0,No Failure,10.199999999999989,58627.2
5976,H,300.5,310.7,1654,28.6,161,0,No Failure,10.199999999999989,47304.4
5977,H,300.5,310.6,1378,51.5,166,0,No Failure,10.100000000000023,70967.0
5978,L,300.6,310.7,1750,30.6,171,0,No Failure,10.099999999999966,53550.0
5979,L,300.5,310.6,1448,46.3,173,0,No Failure,10.100000000000023,67042.4
5980,H,300.6,310.7,1501,45.3,175,0,No Failure,10.099999999999966,67995.3
5981,M,300.6,310.7,1654,32.0,180,0,No Failure,10.099999999999966,52928.0
5982,M,300.7,310.7,1347,46.5,183,0,No Failure,10.0,62635.5
5983,L,300.7,310.8,1486,37.1,186,0,No Failure,10.100000000000023,55130.6
5984,H,300.8,310.8,1466,45.2,188,0,No Failure,10.0,66263.2
5985,H,300.7,310.8,1346,52.0,193,0,No Failure,10.100000000000023,69992.0
5986,L,300.7,310.7,1314,42.4,198,0,No Failure,10.0,55713.6
5987,L,300.6,310.7,1440,52.5,200,0,No Failure,10.099999999999966,75600.0
5988,L,300.7,310.8,1608,39.5,202,0,No Failure,10.100000000000023,63516.0
5989,H,300.7,310.8,1296,58.2,204,0,No Failure,10.100000000000023,75427.2
5990,L,300.7,310.7,1507,46.1,209,0,No Failure,10.0,69472.7
5991,M,300.7,310.7,1343,51.6,211,0,No Failure,10.0,69298.8
5992,L,300.7,310.7,1416,40.4,214,0,No Failure,10.0,57206.4
5993,L,300.7,310.6,1288,47.2,216,0,No Failure,9.900000000000034,60793.600000000006
5994,M,300.7,310.6,1407,42.4,218,0,No Failure,9.900000000000034,59656.799999999996
5995,L,300.6,310.4,1608,39.2,221,0,No Failure,9.799999999999955,63033.600000000006
5996,L,300.6,310.3,1920,22.3,223,0,No Failure,9.699999999999989,42816.0
5997,M,300.5,310.2,1386,48.2,225,0,No Failure,9.699999999999989,66805.2
5998,M,300.5,310.2,1571,34.6,228,0,No Failure,9.699999999999989,54356.600000000006
5999,M,300.4,310.2,1613,36.9,231,0,No Failure,9.800000000000011,59519.7
6000,M,300.4,310.2,1671,30.5,234,1,Tool Wear Failure,9.800000000000011,50965.5
6001,H,300.4,310.2,1431,43.2,0,0,No Failure,9.800000000000011,61819.200000000004
6002,M,300.4,310.2,1380,47.3,5,0,No Failure,9.800000000000011,65273.99999999999
6003,L,300.5,310.3,1683,31.5,8,0,No Failure,9.800000000000011,53014.5
6004,L,300.4,310.2,1529,36.2,10,0,No Failure,9.800000000000011,55349.8
6005,L,300.5,310.4,1761,26.5,12,0,No Failure,9.899999999999977,46666.5
6006,L,300.6,310.5,1570,38.3,14,0,No Failure,9.899999999999977,60130.99999999999
6007,M,300.6,310.5,2156,18.0,16,0,No Failure,9.899999999999977,38808.0
6008,M,300.7,310.6,1349,54.5,19,0,No Failure,9.900000000000034,73520.5
6009,L,300.7,310.7,1431,39.3,22,0,No Failure,10.0,56238.299999999996
6010,L,300.6,310.6,1931,22.0,24,0,No Failure,10.0,42482.0
6011,H,300.7,310.7,1428,43.4,26,0,No Failure,10.0,61975.2
6012,L,300.8,310.8,1564,36.2,31,0,No Failure,10.0,56616.8
6013,H,300.8,310.9,1425,44.0,33,0,No Failure,10.099999999999966,62700.0
6014,L,300.7,310.8,1597,30.5,38,0,No Failure,10.100000000000023,48708.5
6015,H,300.8,310.8,1618,32.8,40,0,No Failure,10.0,53070.399999999994
6016,M,300.8,310.8,1520,38.0,45,0,No Failure,10.0,57760.0
6017,L,300.7,310.7,1425,45.3,48,0,No Failure,10.0,64552.49999999999
6018,L,300.8,310.9,1398,38.2,50,0,No Failure,10.099999999999966,53403.600000000006
6019,M,300.8,310.9,1557,31.6,52,0,No Failure,10.099999999999966,49201.200000000004
6020,L,300.7,310.8,1519,43.9,55,0,No Failure,10.100000000000023,66684.09999999999
6021,L,300.7,310.8,1619,34.9,57,0,No Failure,10.100000000000023,56503.1
6022,L,300.7,310.8,1814,21.4,59,0,No Failure,10.100000000000023,38819.6
6023,L,300.7,310.9,1521,39.4,61,0,No Failure,10.199999999999989,59927.4
6024,M,300.7,310.9,1369,51.2,63,0,No Failure,10.199999999999989,70092.8
6025,L,300.7,310.9,1356,65.3,66,1,Power Failure,10.199999999999989,88546.8
6026,L,300.7,311.0,1336,53.3,68,0,No Failure,10.300000000000011,71208.8
6027,L,300.7,311.0,1403,48.3,70,0,No Failure,10.300000000000011,67764.9
6028,M,300.7,311.0,1413,44.3,72,0,No Failure,10.300000000000011,62595.899999999994
6029,L,300.6,310.9,1472,47.6,75,0,No Failure,10.299999999999955,70067.2
6030,M,300.7,310.8,1452,47.9,77,0,No Failure,10.100000000000023,69550.8
6031,L,300.6,310.7,1397,53.7,80,0,No Failure,10.099999999999966,75018.90000000001
6032,L,300.6,310.7,1455,40.6,82,0,No Failure,10.099999999999966,59073.0
6033,L,300.7,310.8,1754,27.7,84,0,No Failure,10.100000000000023,48585.799999999996
6034,L,300.6,310.9,1471,37.9,86,0,No Failure,10.299999999999955,55750.9
6035,M,300.6,310.8,1389,48.1,88,0,No Failure,10.199999999999989,66810.90000000001
6036,M,300.6,310.9,1702,30.3,91,0,No Failure,10.299999999999955,51570.6
6037,M,300.6,311.0,1401,54.6,94,0,No Failure,10.399999999999977,76494.6
6038,L,300.7,311.1,1426,46.2,97,0,No Failure,10.400000000000034,65881.2
6039,L,300.7,311.0,1496,38.3,99,0,No Failure,10.300000000000011,57296.799999999996
6040,L,300.6,310.9,1433,42.6,101,0,No Failure,10.299999999999955,61045.8
6041,M,300.7,311.1,1438,46.6,103,0,No Failure,10.400000000000034,67010.8
6042,M,300.7,311.0,1418,49.3,106,0,No Failure,10.300000000000011,69907.4
6043,M,300.8,311.0,1580,36.6,109,0,No Failure,10.199999999999989,57828.0
6044,M,300.7,310.9,1468,41.8,112,0,No Failure,10.199999999999989,61362.399999999994
6045,M,300.8,310.9,1522,41.7,115,0,No Failure,10.099999999999966,63467.4
6046,L,300.8,310.9,1311,55.8,118,0,No Failure,10.099999999999966,73153.8
6047,L,300.9,311.0,1316,56.5,120,0,No Failure,10.100000000000023,74354.0
6048,H,300.9,311.0,1853,23.6,122,0,No Failure,10.100000000000023,43730.8
6049,M,300.9,311.0,1556,38.8,127,0,No Failure,10.100000000000023,60372.799999999996
6050,M,300.9,311.0,1567,34.3,130,0,No Failure,10.100000000000023,53748.1
6051,M,300.9,311.1,1546,37.7,133,0,No Failure,10.200000000000045,58284.200000000004
6052,L,300.9,311.0,1382,51.2,136,0,No Failure,10.100000000000023,70758.40000000001
6053,L,300.9,311.0,2003,20.2,138,0,No Failure,10.100000000000023,40460.6
6054,L,300.8,310.9,1748,29.9,140,0,No Failure,10.099999999999966,52265.2
6055,H,300.7,310.8,1518,40.1,142,0,No Failure,10.100000000000023,60871.8
6056,L,300.7,310.8,1475,42.0,147,0,No Failure,10.100000000000023,61950.0
6057,L,300.8,310.8,1634,29.2,149,0,No Failure,10.0,47712.799999999996
6058,L,300.8,310.8,1689,32.9,151,0,No Failure,10.0,55568.1
6059,M,300.9,310.9,1636,35.3,153,0,No Failure,10.0,57750.799999999996
6060,L,300.9,311.0,2235,15.8,156,0,No Failure,10.100000000000023,35313.0
6061,L,301.0,311.1,1615,35.6,158,0,No Failure,10.100000000000023,57494.0
6062,H,301.1,311.1,1618,29.5,160,0,No Failure,10.0,47731.0
6063,M,301.1,311.2,1407,53.0,165,0,No Failure,10.099999999999966,74571.0
6064,L,301.1,311.1,1450,43.3,168,0,No Failure,10.0,62784.99999999999
6065,L,301.1,311.1,1889,23.8,170,0,No Failure,10.0,44958.200000000004
6066,L,301.0,310.9,1568,38.2,172,0,No Failure,9.899999999999977,59897.600000000006
6067,L,301.0,311.0,1804,25.8,174,0,No Failure,10.0,46543.200000000004
6068,L,301.0,311.0,1582,37.5,176,0,No Failure,10.0,59325.0
6069,M,301.0,310.9,2047,17.9,178,0,No Failure,9.899999999999977,36641.299999999996
6070,L,300.9,310.9,1601,34.0,181,0,No Failure,10.0,54434.0
6071,L,300.9,310.9,1615,32.0,183,0,No Failure,10.0,51680.0
6072,M,300.9,310.8,1452,43.6,185,0,No Failure,9.900000000000034,63307.200000000004
6073,M,300.9,310.8,1695,30.2,188,0,No Failure,9.900000000000034,51189.0
6074,M,300.9,310.8,1790,26.2,191,0,No Failure,9.900000000000034,46898.0
6075,M,301.0,310.8,1533,39.3,194,0,No Failure,9.800000000000011,60246.899999999994
6076,L,301.0,310.9,1813,28.5,197,0,No Failure,9.899999999999977,51670.5
6077,L,301.0,310.9,1492,36.7,199,0,No Failure,9.899999999999977,54756.4
6078,L,300.9,310.7,1479,43.3,201,0,No Failure,9.800000000000011,64040.7
6079,L,300.8,310.7,1339,59.1,203,1,Overstrain Failure,9.899999999999977,79134.90000000001
6080,M,300.8,310.7,1371,44.7,205,0,No Failure,9.899999999999977,61283.700000000004
6081,L,300.9,310.7,1468,36.2,208,0,No Failure,9.800000000000011,53141.600000000006
6082,L,300.9,310.7,1517,41.7,210,0,No Failure,9.800000000000011,63258.9
6083,L,300.9,310.7,1352,46.4,212,0,No Failure,9.800000000000011,62732.799999999996
6084,L,300.9,310.7,1389,50.0,214,0,No Failure,9.800000000000011,69450.0
6085,M,300.8,310.6,1505,36.2,0,0,No Failure,9.800000000000011,54481.00000000001
6086,L,300.9,310.6,1538,36.7,3,0,No Failure,9.700000000000045,56444.600000000006
6087,L,300.9,310.8,1482,37.0,5,0,No Failure,9.900000000000034,54834.0
6088,M,300.9,310.8,1599,33.0,7,0,No Failure,9.900000000000034,52767.0
6089,L,300.9,310.8,1476,39.0,10,0,No Failure,9.900000000000034,57564.0
6090,L,300.9,310.7,1509,37.5,12,0,No Failure,9.800000000000011,56587.5
6091,L,300.9,310.8,1708,29.1,14,0,No Failure,9.900000000000034,49702.8
6092,L,300.9,310.7,1412,57.5,16,0,Random Failures,9.800000000000011,81190.0
6093,L,300.9,310.7,1658,28.5,18,0,No Failure,9.800000000000011,47253.0
6094,L,301.0,310.8,1375,57.2,20,0,No Failure,9.800000000000011,78650.0
6095,M,300.9,310.8,1402,48.1,22,0,No Failure,9.900000000000034,67436.2
6096,M,300.9,310.7,1452,47.3,25,0,No Failure,9.800000000000011,68679.59999999999
6097,M,300.8,310.7,1483,40.8,28,0,No Failure,9.899999999999977,60506.399999999994
6098,H,300.9,310.8,1477,38.4,31,0,No Failure,9.900000000000034,56716.799999999996
6099,M,300.8,310.7,1924,22.4,36,0,No Failure,9.899999999999977,43097.6
6100,H,300.9,310.7,1609,28.7,39,0,No Failure,9.800000000000011,46178.299999999996
6101,M,300.8,310.7,1886,21.1,44,0,No Failure,9.899999999999977,39794.600000000006
6102,L,300.7,310.6,1616,29.6,47,0,No Failure,9.900000000000034,47833.600000000006
6103,L,300.7,310.7,1442,43.2,49,0,No Failure,10.0,62294.4
6104,L,300.8,310.8,1407,45.1,51,0,No Failure,10.0,63455.700000000004
6105,M,300.8,310.8,1461,41.3,53,0,No Failure,10.0,60339.299999999996
6106,M,300.8,310.9,1522,46.2,56,0,No Failure,10.099999999999966,70316.40000000001
6107,L,300.9,311.0,1432,48.1,59,0,No Failure,10.100000000000023,68879.2
6108,L,300.9,311.0,1438,49.0,61,0,No Failure,10.100000000000023,70462.0
6109,M,300.8,310.9,1678,28.1,63,0,No Failure,10.099999999999966,47151.8
6110,M,300.8,310.9,1514,38.7,66,0,No Failure,10.099999999999966,58591.8
6111,L,300.7,310.8,1534,41.3,69,0,No Failure,10.100000000000023,63354.2
6112,M,300.7,310.8,1486,41.2,71,0,No Failure,10.100000000000023,61223.200000000004
6113,L,300.7,310.8,1925,22.0,74,0,No Failure,10.100000000000023,42350.0
6114,M,300.7,310.8,1724,30.0,76,0,No Failure,10.100000000000023,51720.0
6115,M,300.8,310.8,1549,35.5,79,0,No Failure,10.0,54989.5
6116,L,300.8,310.9,1457,47.7,82,0,No Failure,10.099999999999966,69498.90000000001
6117,L,300.8,310.9,1453,43.9,84,0,No Failure,10.099999999999966,63786.7
6118,L,300.8,311.0,1578,44.4,86,0,No Failure,10.199999999999989,70063.2
